residuals_fe1961,residuals_fe1962,residuals_fe1963,residuals_fe1964,residuals_fe1965,residuals_fe1966,residuals_fe1967,residuals_fe1968,residuals_fe1969,residuals_fe1970,residuals_fe1971,residuals_fe1972,residuals_fe1973,residuals_fe1974,residuals_fe1975,residuals_fe1976,residuals_fe1977,residuals_fe1978,residuals_fe1979,residuals_fe1980,residuals_fe1981,residuals_fe1982,residuals_fe1983,residuals_fe1984,residuals_fe1985,residuals_fe1986,residuals_fe1987,residuals_fe1988,residuals_fe1989,residuals_fe1990,residuals_fe1991,residuals_fe1992,residuals_fe1993,residuals_fe1994,residuals_fe1995,residuals_fe1996,residuals_fe1997,residuals_fe1998,residuals_fe1999,residuals_fe2000,residuals_fe2001,residuals_fe2002,residuals_fe2003,residuals_fe2004,residuals_fe2005
.26876757,-.0067559313,-.2936855,-.063062102,.20248309,-.18326037,.35463417,.35576558,-.13123082,.086247593,.057327107,-.2963787,.27534765,-.039032988,-.074086137,-.13673335,.35073197,-.27081689,-.17317258,-.08350125,-.18287182,-.11469025,-.16138065,.2322332,-.11501066,.074699789,-.066296816,-.15387926,-.010412359,.28452447,-.20126604,-.24019033,.25678375,-.12682609,-.17924601,.13910125,-.14882813,.14028271,.26534131,.2714583,-.36757043,-.12195718,-.33038303,.33711907,.31967708
-.1700573,-.19271602,-.096977375,.060539242,.067674644,.3480393,-.2439712,-.067547835,-.17730728,.22904256,-.23542255,.094103642,-.10622115,.16170794,.049009487,.29712066,.34703043,-.019085739,.064155936,-.23724964,-.15256742,.057488237,-.03131932,-.18501882,-.23600218,.24354827,.11559867,-.21392921,-.26143271,.24164787,-.047373641,.38129714,-.26786256,.18925589,-.28616005,.33800817,-.34056833,.27866432,-.07305599,-.16574152,.057474494,-.00022340489,.011844728,.21542165,-.040862046
-.084810428,.23458661,-.14596252,.087960139,.017788062,.054887075,.012255697,.05146841,-.11882727,.037734695,.045857545,-.023271615,.088396445,.095621429,-.15695985,.06499853,-.040481888,.0037327176,.015903352,.061868869,.076679349,.20054309,-.13460247,.012019699,.026485899,-.12933965,.081999578,.14430968,.043521453,-.1319741,.046666145,-.20445676,.13336954,-.014916258,.045444448,-.20083998,-.25552508,-.21355835,-.16641262,.084272981,.098229006,.02089303,-.11758173,.18206327,.069963828
-.0027704719,.088542163,.014473062,.047106482,.011197212,-.082083665,-.019423701,-.077555753,.081519634,-.098749444,.023170566,.035325952,.052908096,-.17200194,.035587259,.074899882,.036910802,.010309196,-.036924556,-.020689389,-.028695282,-.016574215,-.19434492,.14466761,.12497313,.047335114,.054545037,-.048580348,.071515635,-.034913976,.080135897,-.062055398,-.069070801,-.012271096,.019579789,.13897784,-.0096796025,.030353209,.042444129,.088850394,-.25161251,.011327979,-.095443904,-.081706516,.048491415
.095413007,.17786081,-.11639122,.13246891,-.05675694,.066962861,.08518561,-.067521468,.29095501,.21472253,-.097711451,-.0045814351,.21233194,-.04693602,-.10608858,.046774868,.081091903,.15754195,-.13590814,.025640698,-.16527943,-.14017743,-.11686109,-.029929757,.07420256,.0065257,-.10507915,-.018258877,-.0075335233,.0579996,.10957896,-.087848179,-.16832581,.092699885,-.047780812,-.096110612,.079089485,.050087605,-.12765256,.12807275,-.19437757,.019655125,.016477024,-.11614782,-.1680809
-.13908008,.093470491,.3643125,-.01028038,-.027371584,.08238031,-.092229694,.02440612,.12177988,-.16154349,-.21006641,-.18460809,-.18558484,-.19703418,-.0057649324,-.17779417,.23474678,-.19665174,-.1556749,.31252655,.07968469,-.16391094,-.17360456,.19108555,.014604467,.24106634,.0008816761,-.055864565,.020124089,.030833779,-.10839097,.060656931,.36845121,.19852316,-.14712913,-.12103633,.068694778,-.16881192,.04604229,-.14619055,-.021918347,.22755133,.024385389,-.18282782,.22716133
.16762714,.072066858,.23468241,-.15142722,-.20259973,-.023707343,-.12942219,-.14592814,.028890366,-.017885856,-.099641867,.2218059,.15472676,.073073626,-.11998314,-.11524085,-.1139312,-.17182654,.17697345,-.021073559,-.140798,.016795143,.17415093,-.093253814,.23257345,.13522276,.18751182,-.040883113,-.11217915,-.18373723,-.045412391,.24347685,-.1090735,-.0023253448,.0041458788,.062530726,-.088573806,-.14601818,.21284233,-.025631964,.2379737,.10843637,-.20615537,-.20769392,-.031102998
-.16665474,.20751324,-.15752105,.15951128,-.20499291,-.16163391,-.14815934,-.18374659,-.090664946,.22778565,-.1408006,.16682434,-.17369448,-.097905368,-.13732553,-.1220186,-.18819778,.056479976,.089500867,.20760475,-.13530876,.2150338,.27596536,-.10827379,-.18458329,-.1100357,.041683514,.20845403,.19983438,.19398911,.22549367,.2263021,.14008629,-.16758965,-.083726972,-.11138083,-.18968438,.0028867838,.13648582,-.13730372,-.10671813,-.21071318,.15047574,.13512444,.25159904
-.084339418,.023734923,.044515949,-.05167101,-.053432383,-.099220425,-.10517618,-.08175613,-.021813534,.1149843,-.046988703,.18408579,-.15168934,-.022898292,.017208297,-.028701171,.12262926,-.095372453,.060136069,-.02961175,.013770566,-.018644385,.1886701,-.03544648,.14278018,-.054697592,.20398585,-.055129629,-.058430891,-.07505364,.19650193,-.041684743,.061298817,-.063691154,-.02752582,-.070076548,.13650954,-.069125749,.15534863,-.095606945,-.19436443,-.050496601,.011916277,.12004276,-.01547384
-.14358902,-.16342524,-.080291025,.042125661,-.029179126,.079930626,.025309477,-.21784171,-.056080252,.16474478,-.069395512,.01012249,-.11977488,-.0698267,-.13502441,-.14842036,.17070292,-.23650983,-.18426694,.058657467,.15053071,-.12475091,-.11607544,.028869879,.075026855,-.25852022,.027749287,-.075357005,-.12577969,.14560801,.11982302,.22173192,.15346226,.16776849,-.11107313,.17442055,.056133766,.18006454,-.046193667,.10541654,.13551234,.10576856,.17773852,.036852766,-.10269636
