residuals1961,residuals1962,residuals1963,residuals1964,residuals1965,residuals1966,residuals1967,residuals1968,residuals1969,residuals1970,residuals1971,residuals1972,residuals1973,residuals1974,residuals1975,residuals1976,residuals1977,residuals1978,residuals1979,residuals1980,residuals1981,residuals1982,residuals1983,residuals1984,residuals1985,residuals1986,residuals1987,residuals1988,residuals1989,residuals1990,residuals1991,residuals1992,residuals1993,residuals1994,residuals1995,residuals1996,residuals1997,residuals1998,residuals1999,residuals2000,residuals2001,residuals2002,residuals2003,residuals2004,residuals2005
.50649428,.15149745,-.071813874,.16275004,.43877256,.048106696,.55866528,.58766788,.037556041,.31985283,.28201646,-.087588795,.49121106,.22954921,.15114133,.060432892,.57155651,-.036919933,.062202279,.13516591,.0090498673,.089936078,.042172138,.42297432,.099166222,.30420244,.13465723,.037518587,.21107431,.53440881,-.028515879,-.046174213,.50176185,.10132307,.022451755,.36041126,.096153684,.35949776,.48126093,.4762924,-.11758024,.11374794,-.10306748,.550753,.49442995
-.18921985,-.29135191,-.13199502,.029462097,.047074828,.32251707,-.29682937,-.092534781,-.26540971,.20575853,-.26762247,.046004277,-.14724703,.17340086,.017347677,.23739764,.31096572,-.042078063,.042641509,-.27547178,-.21753502,.0052252831,-.084655814,-.25116697,-.27871457,.21616165,.059663448,-.27942064,-.2968353,.23464291,-.13151276,.31842399,-.27977371,.16051577,-.34135157,.30242887,-.35247579,.24099009,-.11402566,-.21779668,.050575394,-.021407578,-.01772901,.17216629,-.12299848
.11454348,.35446715,.037536282,.27539945,.21570469,.24788131,.17791396,.24499792,.011586768,.23296712,.23217407,.14714548,.26588702,.32583079,.029894805,.22379196,.14196984,.19925685,.21290538,.24216321,.2302282,.36679658,.030577485,.164388,.20228995,.061790179,.24458081,.2973347,.22663529,.079537392,.18104348,-.048813466,.33997482,.17486008,.20876938,-.01790281,-.04891609,-.032716122,.011134167,.25073427,.30984637,.21822532,.071360998,.35732436,.20634384
-.12595236,-.11411308,-.12456392,-.087990001,-.11342194,-.21162523,-.17630123,-.20656204,-.11060213,-.22605281,-.1130487,-.11679275,-.092137128,-.26432836,-.10009389,-.088842481,-.10317325,-.11670247,-.16245832,-.16293085,-.19768222,-.17285651,-.35170075,-.025499877,-.021758597,-.084070839,-.10540953,-.21809113,-.067906313,-.14593828,-.10802256,-.22894789,-.18500131,-.14503056,-.13963106,-.00062077807,-.1256064,-.11134035,-.10254488,-.067224108,-.36253095,-.11387553,-.22903699,-.22898121,-.13766436
-.10897089,-.10599642,-.3366302,-.083829574,-.2625781,-.14378069,-.15289392,-.27772975,.017631246,.006217164,-.31513271,-.23790213,-.013915281,-.22046444,-.32297173,-.1981695,-.14019415,-.050671715,-.34264392,-.19780275,-.41546836,-.37766173,-.35541892,-.28129926,-.15373117,-.20608225,-.34623572,-.26897165,-.22815748,-.13422671,-.1597815,-.33594269,-.36545831,-.12126158,-.28819367,-.31691125,-.11803932,-.17280796,-.35384357,-.10920376,-.386498,-.18675038,-.19831805,-.34462452,-.43543866
-.051007476,.10206975,.43652999,.065877631,.059263755,.16409324,-.037852719,.10665433,.14091261,-.077592358,-.13503118,-.12547229,-.11937558,-.078106098,.069808416,-.13028204,.30591723,-.11240891,-.069954179,.38153958,.12195224,-.10893873,-.11970589,.23217255,.07912723,.32091486,.052181605,-.01412085,.091956638,.13106397,-.08529494,.10501893,.46377519,.27701819,-.095085487,-.049380455,.16402246,-.099250995,.11230778,-.091010571,.078417711,.3136023,.10204681,-.11884803,.25226006
-.17741415,-.35244778,-.12621397,-.5083831,-.54907829,-.3751083,-.5081591,-.49679381,-.38509077,-.36704862,-.45772052,-.15217219,-.21217786,-.24111217,-.47752368,-.50084263,-.47587463,-.52069759,-.17041969,-.38517439,-.53164434,-.36134654,-.20506428,-.48528069,-.13601767,-.21804258,-.19430214,-.43225327,-.47346047,-.51662093,-.45543024,-.14527503,-.44686338,-.3569442,-.37692437,-.29892728,-.42635998,-.50957114,-.15400606,-.40356585,-.094804123,-.23862652,-.56160784,-.576828,-.43911815
-.49943513,-.20474051,-.50615656,-.1851837,-.53921056,-.50077397,-.51463538,-.52235138,-.49238521,-.10911623,-.48661837,-.19489287,-.52833819,-.39983031,-.48260519,-.49535948,-.53788036,-.28013021,-.24563141,-.14423522,-.5138942,-.150847,-.090988964,-.48803979,-.54091352,-.45104018,-.32786956,-.17065525,-.14918607,-.1266337,-.17226331,-.15018891,-.18544273,-.5099476,-.45253634,-.46057796,-.51520967,-.3484053,-.21810171,-.50297678,-.42723507,-.54551518,-.19271585,-.22174877,-.14415525
-.13055316,-.10195215,-.017552877,-.10979933,-.10108338,-.15179382,-.18508555,-.13379425,-.13696714,.06464909,-.10623981,.10893525,-.21976641,-.038256552,-.041504692,-.11547538,.059513364,-.14541595,.011570466,-.094885044,-.07824821,-.097958513,.10828244,-.12864581,.073016621,-.10913539,.12099945,-.14767225,-.12088468,-.10910978,.085311629,-.13160908,.022336464,-.11948245,-.10976852,-.13270701,.097550891,-.13385116,.087327786,-.1747133,-.2283147,-.09873195,-.044708639,.049736213,-.12466145
.030293597,-.069015957,.077736504,.20409369,.14326623,.24745359,.16549647,-.049783487,.048862506,.33450592,.091449745,.15506831,.032244418,.1349114,.026358953,-.015098217,.32768339,-.066456974,-.012736182,.21348053,.27860829,.016031314,.023633245,.1557669,.22535963,-.092861645,.16485924,.052196737,.031862874,.3316482,.22872907,.35190395,.33459628,.33207354,.026780535,.33188644,.23727147,.33543548,.10588185,.24640656,.32165843,.27762955,.34120995,.18664259,.0082123848
