sector,gross_output_basic,gross_value_added,wage,other_production_tax,depreciation,net_operating_surplus,factor_share,wage_share_gross_output,imported_intermediate,import_share,domar_lambda,final_demand_domestic_basic
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",53574.0,18145.0,6178.0,-5550.0,10175.0,7342.0,0.33869040952700935,0.11531713144435733,4688.0,0.08750513308694516,0.017693930084304935,11745.319476271186
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,6714.0,3717.0,1102.0,-56.0,453.0,2218.0,0.5536193029490617,0.16413464402740544,464.0,0.06910932380101281,0.002217438432561006,1289.7983217503493
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",491.0,184.0,84.0,-13.0,97.0,16.0,0.37474541751527496,0.1710794297352342,93.0,0.1894093686354379,0.00016216298337614745,158.26460112512257
Kohle,2925.0,1196.0,2025.0,-1141.0,500.0,-188.0,0.4088888888888889,0.6923076923076923,272.0,0.09299145299145299,0.0009660422125768457,151.48501508500632
Erdöl und Erdgas,1475.0,812.0,458.0,19.0,339.0,-4.0,0.5505084745762712,0.3105084745762712,120.0,0.08135593220338982,0.00048714949181225556,525.0495272959377
"Erze, Steine und Erden, sonstige Bergbauerz., DL",14170.0,4687.0,3021.0,16.0,1174.0,476.0,0.33076923076923076,0.213196894848271,1674.0,0.11813690896259704,0.004679937829816719,1051.4253132498666
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",193875.0,42280.0,32515.0,-73.0,5518.0,4320.0,0.21807865892972275,0.1677111540941328,33919.0,0.17495293359123146,0.06403125947464477,102441.60083699902
"Textilien, Bekleidung, Leder und Lederwaren",22525.0,6569.0,4896.0,14.0,883.0,776.0,0.2916315205327414,0.21735849056603773,4925.0,0.21864594894561598,0.007439350713946479,13523.659641760383
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",25494.0,6476.0,4888.0,8.0,829.0,751.0,0.2540205538558092,0.19173138777751628,2868.0,0.11249705813132502,0.008419924843567217,8897.611159045362
"Papier, Pappe und Waren daraus",44188.0,10361.0,6410.0,38.0,1560.0,2353.0,0.23447542319181677,0.14506200778491898,10419.0,0.23578799674119671,0.014594007962169456,16888.862225957084
"Druckereileist., besp. Ton-, Bild- u. Datenträger",17270.0,6454.0,4241.0,-2.0,1215.0,1000.0,0.37371163867979157,0.24557035321366533,2714.0,0.1571511291256514,0.005703777439727223,2936.592605156683
Kokerei- und Mineralölerzeugnisse,56754.0,2442.0,1456.0,97.0,789.0,100.0,0.04302780420763294,0.025654579412904818,38788.0,0.6834408147443352,0.018744191361567967,26069.59383465085
Chemische Erzeugnisse,165943.0,35462.0,20000.0,210.0,6838.0,8414.0,0.21369988490023684,0.12052331222166647,43282.0,0.26082449997890844,0.05480613431850924,81226.17420087116
Pharmazeutische Erzeugnisse,39128.0,13114.0,2948.0,36.0,4409.0,5721.0,0.3351564097321611,0.07534246575342465,11304.0,0.28889797587405436,0.01292283750212199,56922.192261402015
