sector,lambda
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",0.017693930084304935
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,0.002217438432561006
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",0.00016216298337614745
Kohle,0.0009660422125768457
Erdöl und Erdgas,0.00048714949181225556
"Erze, Steine und Erden, sonstige Bergbauerz., DL",0.004679937829816719
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",0.06403125947464477
"Textilien, Bekleidung, Leder und Lederwaren",0.007439350713946479
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",0.008419924843567217
"Papier, Pappe und Waren daraus",0.014594007962169456
"Druckereileist., besp. Ton-, Bild- u. Datenträger",0.005703777439727223
Kokerei- und Mineralölerzeugnisse,0.018744191361567967
Chemische Erzeugnisse,0.05480613431850924
Pharmazeutische Erzeugnisse,0.01292283750212199
Gummi- und Kunststoffwaren,0.02626511897346538
Glas und Glaswaren,0.0034628897773908473
"Keramik, bearbeitete Steine und Erden",0.012605447223049734
"Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",0.03020855282583035
NE-Metalle und Halbzeug daraus,0.014178527243050937
Gießereierzeugnisse,0.006350117477338466
Metallerzeugnisse,0.04555954155764977
"DV-Geräte, elektronische und optische Erzeugnisse",0.025810005753318065
Elektrische Ausrüstungen,0.0319688964131926
Maschinen,0.08153594436653722
Kraftwagen und Kraftwagenteile,0.13176089183695983
Sonstige Fahrzeuge,0.016590825472336843
"Möbel und Waren, a.n.g.",0.017986219779392288
"Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.",0.018100823761533883
"Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.",0.03888774028029426
"Indust.erz.Gase, Dienstleistungen d.Gasversorgung",0.005070648235792244
"Wasser, Dienstleistungen der Wasserversorgung",0.0037257853675485117
"DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",0.020646551410950065
Hochbauarbeiten,0.02466264484853449
Tiefbauarbeiten,0.015886357766550036
"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten",0.076571313070997
"Handelsleistungen mit Kfz, Instandh. und Reparatur",0.031019698013552994
Großhandelsleistungen (oh.Handelsleistungen m.Kfz),0.09588489136401197
Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),0.06887071812110239
Landverkehrs- u. Transportleist. in Rohrfernleit.,0.03593049516186244
Schifffahrtsleistungen,0.008119378377432197
Luftfahrtleistungen,0.008274935943970212
"Lagereileist.,sonst. Dienstleistungen f.d. Verkehr",0.04729577537355283
"Post-, Kurier- und Expressdienstleistungen",0.01768666412578299
Beherbergungs- und Gastronomiedienstleistungen,0.03415793155334964
Dienstleistungen des Verlagswesens,0.01563337030164957
"DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.",0.012486219449121446
Telekommunikationsdienstleistungen,0.022726266902436013
IT- und Informationsdienstleistungen,0.05183402701219162
Finanzdienstleistungen,0.046863781112338986
Dienstleistungen v.Versicherungen u.Pensionskassen,0.02729688508358164
Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,0.012005345103305417
Dienstleistungen d. Grundstücks- u. Wohnungswesens,0.15119270709137736
"DL der Rechts-, Steuer- und Unternehmensberatung",0.059557410650177785
"DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",0.026877110843518334
Forschungs- und Entwicklungsleistungen,0.03639683759063458
Werbe- und Marktforschungsleistungen,0.008509428241723908
"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",0.0112305297081925
Dienstleist. der Vermietung v. beweglichen Sachen,0.028619289534575723
DL d. Vermittlung u. Überlassung v. Arbeitskräften,0.012656969474387166
"DL v. Reisebüros, -veranstaltern u. sonst. Reserv.",0.01181676045257674
"Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g",0.04335168097950405
DL d. öffentlichen Verwaltung und der Verteidigung,0.08427322910425925
Dienstleistungen der Sozialversicherung,0.011943254185026973
Erziehungs- und Unterrichtsdienstleistungen,0.059210956537017745
Dienstleistungen des Gesundheitswesens,0.07764964736982209
Dienstleistungen von Heimen und des Sozialwesens,0.03495355401150267
"Dienstleist. der Kunst, Kultur u. des Glücksspiels",0.011385096462204796
"DL des Sports, der Unterhaltung und der Erholung",0.009812016442203593
"DL d. Interessenvertr., kirchl. u.sonst. Vereinig.",0.01435753403936432
Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern,0.0014353570789261442
Sonstige überwiegend persönliche Dienstleistungen,0.01789143204776509
