sector,private_consumption,private_orgs_consumption,government_consumption,equipment_investment,construction_investment,inventories,exports
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",7386.7199919355335,0.0,0.0,15.598609239573456,0.0,0.0,4343.000875096081
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,904.3020608683964,0.0,0.0,0.0,0.0,0.0,385.4962608819528
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",68.82946860050953,0.0,0.0,0.0,0.0,-0.0,89.43513252461305
Kohle,51.255987255698585,0.0,0.0,0.0,0.0,-0.0,100.22902782930774
Erdöl und Erdgas,302.4103248086217,0.0,6.761296393422392,0.0,0.0,0.0,215.87790609389359
"Erze, Steine und Erden, sonstige Bergbauerz., DL",46.86261691949585,0.0,0.0,38.50906656019697,0.0,-0.0,966.0536297701738
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",62847.162659380134,0.0,569.8806960170302,0.0,0.0,0.0,39024.55748160185
"Textilien, Bekleidung, Leder und Lederwaren",6275.197296876241,0.0,0.0,73.60593734923725,0.0,-0.0,7174.856407534906
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",1011.2074057159964,0.0,0.0,39.97143617640698,2815.7061126434737,-0.0,5030.726204509484
"Papier, Pappe und Waren daraus",3417.3098931763616,0.0,0.0,0.0,0.0,-0.0,13471.552332780724
"Druckereileist., besp. Ton-, Bild- u. Datenträger",1671.677412925141,0.0,0.0,0.4874565387366705,0.0,-0.0,1264.4277356928053
Kokerei- und Mineralölerzeugnisse,13879.38912045381,0.0,191.24809798537623,0.0,0.0,0.0,11998.956616211664
Chemische Erzeugnisse,4147.341597375383,0.0,177.72550519853147,0.0,0.0,0.0,76901.10709829725
Pharmazeutische Erzeugnisse,8034.00988813607,0.0,9542.121010088546,0.0,0.0,-0.0,39346.061363177396
Gummi- und Kunststoffwaren,1763.2059615960313,0.0,0.0,289.5491840095823,589.3338375300293,-0.0,27680.17351636774
Glas und Glaswaren,1203.7834721195495,0.0,0.0,21.935544243150172,0.0,-0.0,4025.3519561293515
"Keramik, bearbeitete Steine und Erden",2134.4457550051625,0.0,0.0,11.21150039094342,2993.661820446659,-0.0,5851.06224766628
"Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",0.0,0.0,0.0,125.27633045532431,614.756081501913,-0.0,18701.96560042706
NE-Metalle und Halbzeug daraus,0.0,0.0,0.0,0.0,0.0,0.0,17209.32407829214
Gießereierzeugnisse,0.0,0.0,0.0,250.06520437191196,77.80747397455289,-0.0,168.84736226629533
Metallerzeugnisse,3511.0351270153533,0.0,0.0,2162.844662374607,8336.955280718925,0.0,27212.952048178813
"DV-Geräte, elektronische und optische Erzeugnisse",5154.155632755176,0.0,346.7579150340913,3711.9815424797457,98.6074917697304,-0.0,48469.98686573146
Elektrische Ausrüstungen,4712.621913966801,0.0,0.0,2568.8959591422536,1772.623738766794,0.0,42530.26047806233
Maschinen,1175.958793323599,0.0,0.0,18951.82276954301,1110.1046534389181,0.0,118544.72617633108
Kraftwagen und Kraftwagenteile,33387.41786997269,0.0,0.0,10281.433315033853,0.0,0.0,147968.88477692878
Sonstige Fahrzeuge,1738.310196357549,0.0,402.78008515101965,4056.125858827835,54.696343091022335,-0.0,25692.554795260392
"Möbel und Waren, a.n.g.",13202.07786028922,0.0,753.4015981242095,4303.753780506064,76.26673191565085,-0.0,19550.82836688912
"Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.",247.49319560608745,0.0,0.0,7624.795178919,590.8745795889314,-0.0,4722.329195803922
"Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.",23418.860577128682,0.0,374.7690000925555,0.0,0.0,0.0,3349.191514542406
"Indust.erz.Gase, Dienstleistungen d.Gasversorgung",5403.845513529365,0.0,0.0,0.0,0.0,-0.0,0.0
"Wasser, Dienstleistungen der Wasserversorgung",5203.214934842774,0.0,0.0,0.0,0.0,-0.0,0.0
"DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",10132.576452062243,0.0,1008.3990621047111,0.0,0.0,0.0,6705.321961780687
Hochbauarbeiten,0.0,0.0,0.0,0.0,48754.47134086662,0.0,329.9847993149516
Tiefbauarbeiten,0.0,0.0,0.0,0.0,27737.20891538393,0.0,212.02294348507405
"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten",3987.71580849335,0.0,0.0,0.0,88772.16483672925,0.0,1027.7330315112863
"Handelsleistungen mit Kfz, Instandh. und Reparatur",21219.978723859214,0.0,0.0,3097.2988471328044,0.0,0.0,10524.047922077312
Großhandelsleistungen (oh.Handelsleistungen m.Kfz),43335.47276791442,0.0,3407.693382284886,6664.993254146496,0.0,0.0,61661.668913111884
Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),97466.18868026833,0.0,6939.987798105699,1779.2163663888473,0.0,0.0,0.0
Landverkehrs- u. Transportleist. in Rohrfernleit.,21646.13564647088,0.0,381.5302964859779,0.0,0.0,0.0,3723.893880119664
Schifffahrtsleistungen,2667.508022464428,0.0,0.0,0.0,0.0,-0.0,20389.668230568248
Luftfahrtleistungen,3945.978790299424,0.0,0.0,0.0,0.0,0.0,7672.146584072625
"Lagereileist.,sonst. Dienstleistungen f.d. Verkehr",3120.7573954826767,0.0,2568.3267300157345,0.0,0.0,0.0,6889.589174482261
"Post-, Kurier- und Expressdienstleistungen",2061.9551444578174,0.0,0.0,0.0,0.0,0.0,912.8551457684642
Beherbergungs- und Gastronomiedienstleistungen,59770.338967259486,0.0,0.0,0.0,0.0,-0.0,11369.826718452317
Dienstleistungen des Verlagswesens,6986.923291341084,0.0,0.0,596.159346874948,0.0,0.0,14891.720557869838
"DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.",6434.090857368907,0.0,7944.523262271311,1893.2811964532282,0.0,0.0,2217.3744925929927
Telekommunikationsdienstleistungen,16310.387373152656,0.0,0.0,0.0,0.0,0.0,3264.3823371483763
IT- und Informationsdienstleistungen,158.1613321032985,0.0,0.0,10303.368859277005,0.0,0.0,14343.5448748957
Finanzdienstleistungen,28304.288390986127,0.0,0.0,0.0,0.0,0.0,14333.52197211277
Dienstleistungen v.Versicherungen u.Pensionskassen,30443.859744716858,0.0,0.0,0.0,0.0,0.0,7329.054911887687
Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,694.8847415093994,0.0,0.0,0.0,0.0,0.0,3420.1228265446853
Dienstleistungen d. Grundstücks- u. Wohnungswesens,211796.32939605086,0.0,569.8806960170302,0.0,4277.870326541507,0.0,1080.1605229912318
"DL der Rechts-, Steuer- und Unternehmensberatung",1092.484756935747,0.0,0.0,0.0,1778.7867070024024,0.0,13885.575316967941
"DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",3155.1721297829313,0.0,0.0,0.0,18184.6081501913,0.0,8692.169690366272
Forschungs- und Entwicklungsleistungen,0.0,2192.0,6485.049140776849,37850.51277636373,0.0,-0.0,17645.705845610508
Werbe- und Marktforschungsleistungen,0.0,0.0,0.0,0.0,0.0,0.0,6403.092893249236
"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",3616.476015084219,0.0,0.0,29.7348488629369,0.0,0.0,1616.7713181389101
Dienstleist. der Vermietung v. beweglichen Sachen,3709.4690205338434,0.0,0.0,0.0,0.0,0.0,17882.400549792026
DL d. Vermittlung u. Überlassung v. Arbeitskräften,123.74659780304373,0.0,0.0,0.0,0.0,0.0,2363.0920792063707
