sector,wage,other_production_tax,depreciation,net_operating_surplus,gross_value_added
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",6178.0,-5550.0,10175.0,7342.0,18145.0
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,1102.0,-56.0,453.0,2218.0,3717.0
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",84.0,-13.0,97.0,16.0,184.0
Kohle,2025.0,-1141.0,500.0,-188.0,1196.0
Erdöl und Erdgas,458.0,19.0,339.0,-4.0,812.0
"Erze, Steine und Erden, sonstige Bergbauerz., DL",3021.0,16.0,1174.0,476.0,4687.0
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",32515.0,-73.0,5518.0,4320.0,42280.0
"Textilien, Bekleidung, Leder und Lederwaren",4896.0,14.0,883.0,776.0,6569.0
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",4888.0,8.0,829.0,751.0,6476.0
"Papier, Pappe und Waren daraus",6410.0,38.0,1560.0,2353.0,10361.0
"Druckereileist., besp. Ton-, Bild- u. Datenträger",4241.0,-2.0,1215.0,1000.0,6454.0
Kokerei- und Mineralölerzeugnisse,1456.0,97.0,789.0,100.0,2442.0
Chemische Erzeugnisse,20000.0,210.0,6838.0,8414.0,35462.0
Pharmazeutische Erzeugnisse,2948.0,36.0,4409.0,5721.0,13114.0
Gummi- und Kunststoffwaren,18284.0,31.0,2933.0,4395.0,25643.0
Glas und Glaswaren,2360.0,15.0,810.0,797.0,3982.0
"Keramik, bearbeitete Steine und Erden",8043.0,92.0,1160.0,2869.0,12164.0
"Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",6411.0,-213.0,1918.0,2095.0,10211.0
NE-Metalle und Halbzeug daraus,3418.0,4.0,537.0,544.0,4503.0
Gießereierzeugnisse,5059.0,0.0,734.0,325.0,6118.0
Metallerzeugnisse,41732.0,68.0,5199.0,9147.0,56146.0
"DV-Geräte, elektronische und optische Erzeugnisse",16000.0,38.0,10008.0,7346.0,33392.0
Elektrische Ausrüstungen,25901.0,70.0,4561.0,7501.0,38033.0
Maschinen,62932.0,85.0,9659.0,15921.0,88597.0
Kraftwagen und Kraftwagenteile,49521.0,164.0,31224.0,23480.0,104389.0
Sonstige Fahrzeuge,9105.0,23.0,1941.0,2160.0,13229.0
"Möbel und Waren, a.n.g.",16856.0,32.0,2264.0,3574.0,22726.0
"Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.",17540.0,14.0,1759.0,-118.0,19195.0
"Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.",13304.0,-1623.0,8698.0,19667.0,40046.0
"Indust.erz.Gase, Dienstleistungen d.Gasversorgung",3221.0,-2.0,2827.0,530.0,6576.0
"Wasser, Dienstleistungen der Wasserversorgung",2403.0,-82.0,4139.0,1035.0,7495.0
"DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",10847.0,-277.0,11393.0,4474.0,26437.0
Hochbauarbeiten,14163.0,20.0,1211.0,10454.0,25848.0
Tiefbauarbeiten,12009.0,-98.0,1367.0,6718.0,19996.0
"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten",59809.0,120.0,3800.0,45078.0,108807.0
"Handelsleistungen mit Kfz, Instandh. und Reparatur",32616.0,176.0,5059.0,22307.0,60158.0
Großhandelsleistungen (oh.Handelsleistungen m.Kfz),98248.0,1059.0,10498.0,50611.0,160416.0
Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),82112.0,491.0,8622.0,20620.0,111845.0
Landverkehrs- u. Transportleist. in Rohrfernleit.,28960.0,-882.0,8300.0,14543.0,50921.0
Schifffahrtsleistungen,756.0,18.0,4620.0,-173.0,5221.0
Luftfahrtleistungen,5059.0,43.0,1421.0,389.0,6912.0
"Lagereileist.,sonst. Dienstleistungen f.d. Verkehr",32933.0,-131.0,16086.0,1.0,48889.0
"Post-, Kurier- und Expressdienstleistungen",17806.0,79.0,1836.0,1058.0,20779.0
Beherbergungs- und Gastronomiedienstleistungen,34932.0,-26.0,3892.0,11347.0,50145.0
Dienstleistungen des Verlagswesens,10519.0,76.0,2009.0,6667.0,19271.0
"DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.",8145.0,-26.0,4416.0,3676.0,16211.0
Telekommunikationsdienstleistungen,7994.0,22.0,10179.0,8419.0,26614.0
IT- und Informationsdienstleistungen,60153.0,301.0,10670.0,19774.0,90898.0
Finanzdienstleistungen,43618.0,3339.0,5946.0,13473.0,66376.0
Dienstleistungen v.Versicherungen u.Pensionskassen,12152.0,121.0,1982.0,13949.0,28204.0
Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,14198.0,31.0,464.0,3871.0,18564.0
Dienstleistungen d. Grundstücks- u. Wohnungswesens,17247.0,8233.0,181802.0,134448.0,341730.0
"DL der Rechts-, Steuer- und Unternehmensberatung",73516.0,490.0,3661.0,18883.0,96550.0
"DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",33340.0,123.0,3058.0,8738.0,45259.0
Forschungs- und Entwicklungsleistungen,62343.0,-2788.0,12788.0,3072.0,75415.0
Werbe- und Marktforschungsleistungen,8327.0,43.0,504.0,3400.0,12274.0
"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",5990.0,51.0,402.0,9084.0,15527.0
Dienstleist. der Vermietung v. beweglichen Sachen,6298.0,177.0,56132.0,-1159.0,61448.0
DL d. Vermittlung u. Überlassung v. Arbeitskräften,28764.0,7.0,290.0,-394.0,28667.0
"DL v. Reisebüros, -veranstaltern u. sonst. Reserv.",3038.0,-200.0,266.0,4328.0,7432.0
"Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g",47524.0,28.0,2932.0,24549.0,75033.0
DL d. öffentlichen Verwaltung und der Verteidigung,124783.0,89.0,35260.0,0.0,160132.0
Dienstleistungen der Sozialversicherung,23269.0,22.0,1233.0,0.0,24524.0
Erziehungs- und Unterrichtsdienstleistungen,106557.0,-1959.0,25410.0,7250.0,137258.0
Dienstleistungen des Gesundheitswesens,113061.0,-2567.0,21868.0,27707.0,160069.0
Dienstleistungen von Heimen und des Sozialwesens,69833.0,-717.0,11223.0,-11409.0,68930.0
"Dienstleist. der Kunst, Kultur u. des Glücksspiels",9288.0,228.0,4730.0,7964.0,22210.0
"DL des Sports, der Unterhaltung und der Erholung",9041.0,-199.0,5525.0,3248.0,17615.0
"DL d. Interessenvertr., kirchl. u.sonst. Vereinig.",29237.0,-106.0,2057.0,-19.0,31169.0
Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern,2172.0,7.0,244.0,428.0,2851.0
Sonstige überwiegend persönliche Dienstleistungen,10905.0,-67.0,1555.0,24476.0,36869.0
