sector,imported_intermediate,product_tax_intermediate
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",4688.0,1254.0
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,464.0,76.0
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",93.0,12.0
Kohle,272.0,6.0
Erdöl und Erdgas,120.0,6.0
"Erze, Steine und Erden, sonstige Bergbauerz., DL",1674.0,264.0
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",33919.0,1334.0
"Textilien, Bekleidung, Leder und Lederwaren",4925.0,163.0
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",2868.0,91.0
"Papier, Pappe und Waren daraus",10419.0,203.0
"Druckereileist., besp. Ton-, Bild- u. Datenträger",2714.0,81.0
Kokerei- und Mineralölerzeugnisse,38788.0,447.0
Chemische Erzeugnisse,43282.0,946.0
Pharmazeutische Erzeugnisse,11304.0,152.0
Gummi- und Kunststoffwaren,24653.0,324.0
Glas und Glaswaren,1514.0,12.0
"Keramik, bearbeitete Steine und Erden",4124.0,44.0
"Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",13262.0,66.0
NE-Metalle und Halbzeug daraus,19818.0,70.0
Gießereierzeugnisse,4461.0,116.0
Metallerzeugnisse,20926.0,219.0
"DV-Geräte, elektronische und optische Erzeugnisse",16023.0,635.0
Elektrische Ausrüstungen,20158.0,341.0
Maschinen,41280.0,969.0
Kraftwagen und Kraftwagenteile,73312.0,987.0
Sonstige Fahrzeuge,10773.0,185.0
"Möbel und Waren, a.n.g.",10316.0,209.0
"Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.",8764.0,178.0
"Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.",17030.0,431.0
"Indust.erz.Gase, Dienstleistungen d.Gasversorgung",1443.0,111.0
"Wasser, Dienstleistungen der Wasserversorgung",336.0,155.0
"DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",5683.0,1666.0
Hochbauarbeiten,3284.0,535.0
Tiefbauarbeiten,2721.0,191.0
"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten",24386.0,1285.0
"Handelsleistungen mit Kfz, Instandh. und Reparatur",6885.0,322.0
Großhandelsleistungen (oh.Handelsleistungen m.Kfz),13185.0,2345.0
Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),9110.0,1224.0
Landverkehrs- u. Transportleist. in Rohrfernleit.,3876.0,2687.0
Schifffahrtsleistungen,13259.0,11.0
Luftfahrtleistungen,8804.0,141.0
"Lagereileist.,sonst. Dienstleistungen f.d. Verkehr",15592.0,2809.0
"Post-, Kurier- und Expressdienstleistungen",3641.0,1187.0
Beherbergungs- und Gastronomiedienstleistungen,6795.0,1094.0
Dienstleistungen des Verlagswesens,3810.0,74.0
"DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.",2558.0,42.0
Telekommunikationsdienstleistungen,2717.0,158.0
IT- und Informationsdienstleistungen,9542.0,107.0
Finanzdienstleistungen,5594.0,5702.0
Dienstleistungen v.Versicherungen u.Pensionskassen,7632.0,2902.0
Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,1147.0,1116.0
Dienstleistungen d. Grundstücks- u. Wohnungswesens,3124.0,4922.0
"DL der Rechts-, Steuer- und Unternehmensberatung",7948.0,697.0
"DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",3746.0,135.0
Forschungs- und Entwicklungsleistungen,5237.0,2458.0
Werbe- und Marktforschungsleistungen,1420.0,23.0
"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",1708.0,164.0
Dienstleist. der Vermietung v. beweglichen Sachen,1718.0,220.0
DL d. Vermittlung u. Überlassung v. Arbeitskräften,1002.0,32.0
"DL v. Reisebüros, -veranstaltern u. sonst. Reserv.",13677.0,457.0
"Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g",6330.0,470.0
DL d. öffentlichen Verwaltung und der Verteidigung,8540.0,12002.0
Dienstleistungen der Sozialversicherung,711.0,1324.0
Erziehungs- und Unterrichtsdienstleistungen,2696.0,3230.0
Dienstleistungen des Gesundheitswesens,9077.0,7993.0
Dienstleistungen von Heimen und des Sozialwesens,4472.0,4145.0
"Dienstleist. der Kunst, Kultur u. des Glücksspiels",1715.0,1392.0
"DL des Sports, der Unterhaltung und der Erholung",540.0,976.0
"DL d. Interessenvertr., kirchl. u.sonst. Vereinig.",1035.0,1326.0
Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern,337.0,15.0
Sonstige überwiegend persönliche Dienstleistungen,1391.0,285.0
