user,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",0.2723573100010174,0.002340014243564961,0.0,6.782649981347713e-5,0.0,0.0014921829958964967,0.0763387255400685,0.0009156577474819412,0.0010173974972021568,0.0,0.000542611998507817,0.02512971818089327,0.028012344422966053,0.00020347949944043138,0.0015260962458032354,0.0010173974972021568,0.005934818733679249,0.0005765252484145556,0.0,0.0,0.0029843659917929933,0.0,0.0005765252484145556,0.017126191202902975,0.006680910231627497,0.00010173974972021569,3.3913249906738565e-5,0.0018313154949638824,0.027028860175670633,0.0,0.00447654898768949,0.02940278766914233,0.000542611998507817,0.0,0.026893207176043682,0.003730457489741242,0.10814935395258927,0.05588903584630515,0.0040356767389018895,3.3913249906738565e-5,0.00010173974972021569,0.003255671991046902,0.0,0.0,0.00037304574897412417,0.0,0.0025095804930986535,0.0005765252484145556,0.021975785939566585,0.01580357445654017,0.0,0.013802692712042593,0.003425238240580595,0.009258317224539627,0.0,0.00013565299962695426,0.036660223149184386,0.058873401838098145,0.10258758096788416,0.00013565299962695426,0.009529623223793535,0.009699189473327229,0.0,0.0007460914979482483,0.0007800047478549869,0.0,0.0,0.0,0.0023739274934716993,0.0,0.00040695899888086275
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,0.0032560032560032554,0.4053724053724053,0.0,0.0,0.0,0.0,0.0,0.0008140008140008139,0.0,0.0012210012210012208,0.0012210012210012208,0.04232804232804232,0.0028490028490028487,0.0,0.0028490028490028487,0.0,0.009768009768009766,0.0008140008140008139,0.0,0.0,0.004477004477004476,0.0,0.0008140008140008139,0.06064306064306063,0.0016280016280016277,0.0,0.0,0.0032560032560032554,0.0032560032560032554,0.0,0.00040700040700040693,0.006512006512006511,0.00040700040700040693,0.0,0.05535205535205535,0.007733007733007732,0.16076516076516073,0.022385022385022383,0.01058201058201058,0.0,0.00040700040700040693,0.0012210012210012208,0.00040700040700040693,0.00040700040700040693,0.0020350020350020344,0.0,0.004884004884004883,0.0008140008140008139,0.02116402116402116,0.006105006105006104,0.0,0.00529100529100529,0.0016280016280016277,0.0032560032560032554,0.0,0.0012210012210012208,0.0,0.03011803011803011,0.05168905168905168,0.00040700040700040693,0.02279202279202279,0.03459503459503459,0.0,0.0,0.0,0.0,0.0,0.0,0.0024420024420024416,0.0,0.00040700040700040693
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",0.0,0.0,0.21782178217821785,0.0,0.0,0.0,0.0,0.06930693069306931,0.0049504950495049506,0.034653465346534656,0.0049504950495049506,0.05940594059405941,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.06435643564356436,0.0,0.0049504950495049506,0.019801980198019802,0.0049504950495049506,0.0,0.034653465346534656,0.0,0.17326732673267328,0.09405940594059406,0.0,0.009900990099009901,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.024752475247524754,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.014851485148514853,0.0,0.009900990099009901,0.014851485148514853,0.0,0.0,0.0,0.0,0.0,0.0,0.014851485148514853,0.0,0.0
Kohle,0.0,0.0,0.0,0.06685044796691937,0.0,0.02067539627842867,0.0,0.0013783597518952446,0.024121295658166782,0.0027567195037904893,0.0034458993797381117,0.0,0.010337698139214336,0.0,0.0027567195037904893,0.0,0.0,0.00895933838731909,0.0,0.0,0.040661612680909724,0.0,0.0,0.0020675396278428673,0.0,0.0,0.0,0.2708476912474156,0.10337698139214337,0.0020675396278428673,0.01654031702274294,0.026878015161957272,0.0020675396278428673,0.0,0.08683666436940042,0.004824259131633356,0.044796691936595454,0.015851137146795313,0.013783597518952447,0.0006891798759476223,0.0013783597518952446,0.0,0.004135079255685735,0.0,0.0027567195037904893,0.0,0.052377670572019294,0.00895933838731909,0.01447277739490007,0.00895933838731909,0.0,0.004135079255685735,0.01791867677463818,0.022053756030323914,0.0,0.0020675396278428673,0.005513439007580979,0.006891798759476223,0.02549965541006203,0.0,0.02067539627842867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024121295658166782,0.0,0.005513439007580979
Erdöl und Erdgas,0.0,0.01303538175046555,0.0,0.0,0.0,0.2458100558659218,0.0,0.00186219739292365,0.00186219739292365,0.005586592178770951,0.0037243947858473,0.0074487895716946,0.0,0.0,0.00186219739292365,0.0,0.0,0.009310986964618248,0.0,0.0037243947858473,0.02793296089385475,0.0,0.00186219739292365,0.020484171322160148,0.0,0.0,0.00186219739292365,0.06145251396648045,0.06890130353817504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335195530726257,0.011173184357541902,0.037243947858472994,0.00186219739292365,0.0037243947858473,0.0,0.0,0.0,0.0,0.0,0.02793296089385475,0.02793296089385475,0.0297951582867784,0.01303538175046555,0.0,0.0037243947858473,0.10242085661080073,0.06890130353817504,0.0,0.00186219739292365,0.044692737430167606,0.01303538175046555,0.009310986964618248,0.0,0.040968342644320296,0.04283054003724395,0.0,0.0,0.0,0.0,0.0,0.0,0.0037243947858473,0.0,0.005586592178770951
"Erze, Steine und Erden, sonstige Bergbauerz., DL",0.0,0.00728959575878065,0.0,0.0,0.0,0.2779324055666004,0.0007952286282306164,0.000530152418820411,0.0038436050364479796,0.01510934393638171,0.00291583830351226,0.02531477799867462,0.03671305500331346,0.0,0.000530152418820411,0.0,0.0,0.006891981444665342,0.0,0.0,0.0145791915175613,0.000530152418820411,0.001060304837640822,0.00530152418820411,0.00013253810470510274,0.0,0.0,0.014976805831676609,0.04797879390324719,0.028363154406891987,0.0063618290258449315,0.05500331345261763,0.000530152418820411,0.0,0.02717031146454606,0.01020543406229291,0.06083499005964215,0.017627567925778666,0.03167660702451955,0.003976143141153082,0.0013253810470510274,0.009940357852882706,0.01206096752816435,0.0002650762094102055,0.0017229953611663355,0.0002650762094102055,0.006494367130550034,0.010868124585818423,0.01312127236580517,0.014844267726971505,0.0,0.003578528827037774,0.01510934393638171,0.0482438701126574,0.0,0.012723658051689863,0.0037110669317428763,0.019350563286945,0.014844267726971505,0.00013253810470510274,0.05129224652087476,0.0482438701126574,0.0,0.00013253810470510274,0.0,0.0,0.0,0.0,0.00530152418820411,0.0,0.0022531477799867462
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",0.23438654999914044,0.00017190696395110965,0.0015815440683502088,5.157208918533289e-5,1.7190696395110963e-5,0.0009884650427188805,0.24106513554864104,8.595348197555482e-6,0.0009368929535335475,0.023052723865843804,0.0011345859620773236,0.0008595348197555482,0.00041257671348266314,0.0,0.01053789689020302,0.0017878324250915404,0.0,0.0005672929810386618,1.7190696395110963e-5,0.0,0.0045211531519141835,0.0003266232315071083,1.7190696395110963e-5,0.006137078613054615,0.0,0.0,0.0,0.0071599250485637166,0.014981691908339204,0.008156985439480152,0.002698939334032421,0.020259235701638272,0.00011173952656822127,0.0,0.00945488301731103,0.002372316102525313,0.0899932956284059,0.046672740712726264,0.017706417286964295,0.0001976930085437761,0.00020628835674133157,0.061112925684619485,0.0025871998074642,0.0,0.001125990613879768,0.0013322789706210997,0.002011311478227983,0.00410857643843152,0.009222808615977032,0.004332055491567963,0.0,0.024935105121108452,0.032249746437228166,0.0063691530143886125,0.0,0.028665486238847536,0.0030255625655395296,0.009007924911038145,0.018858193945436728,0.0008251534269653263,0.02313867734781936,0.01132007357618057,0.0,0.001444018497189321,0.0001375255711608877,0.0,0.0,0.001658902202128208,0.002423888191710646,0.0005157208918533289,0.0010400371319042132
"Textilien, Bekleidung, Leder und Lederwaren",0.0020242914979757085,0.0,0.0,0.0,0.0,9.201324990798675e-5,0.0001840264998159735,0.2909458962090541,0.001932278248067722,0.02318733897681266,0.008189179241810821,0.0011041589988958409,0.056036069193963936,0.0,0.0152741994847258,0.0,0.008557232241442767,0.0,0.0001840264998159735,0.0,0.009845417740154582,0.00046006624953993377,0.0006440927493559073,0.005336768494663231,0.0,0.0,0.0013801987486198011,0.021623113728376886,0.029628266470371735,0.008741258741258742,0.0030364372469635624,0.03248067721751932,0.000368052999631947,0.0,0.021347073978652924,0.0023003312476996686,0.14243651085756348,0.047110783952889215,0.012697828487302172,0.0,0.0008281192491718807,0.010857563489142436,0.011501656238498343,0.0,0.0023923444976076554,0.0,0.0012881854987118145,0.009201324990798674,0.011685682738314317,0.0020242914979757085,0.0,0.02603974972396025,0.009753404490246595,0.0,0.0,0.008281192491718808,0.09063305115936694,0.0037725432462274566,0.01334192123665808,0.0001840264998159735,0.03137651821862348,0.012329775487670223,0.0,0.0,0.0,0.0,0.0,0.0,0.004692675745307324,0.0021163047478836954,0.0005520794994479204
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",0.00012454075596238874,0.13413039417149267,0.0,0.0,0.0,0.0,0.0,0.0,0.3470950868671774,0.007659256491686907,0.002054922473379414,0.0014322186935674705,0.061585403823401226,0.0,0.006538389688025409,0.025904477240176856,0.0005604334018307493,0.0013699483155862763,0.0,0.0,0.0046080079706083835,0.0,0.0,0.0,0.0,0.0,0.0002490815119247775,0.0199265209539822,0.021047387757643695,0.004109844946758828,0.000498163023849555,0.01911700604022667,0.00012454075596238874,0.0,0.010897316146709014,0.005977956286194659,0.09346783734977275,0.05012765427486147,0.02584220686219566,0.0,0.000498163023849555,0.010772775390746626,0.0,0.0,0.00012454075596238874,0.0,0.002366274363285386,0.004732548726570772,0.010897316146709014,0.009900990099009905,0.0,0.02640264026402641,0.011084127280652598,0.013450401643937984,0.0,0.0011208668036614986,0.00099632604769911,0.02378728438881625,0.011457749548539764,6.227037798119437e-5,0.01469580920356187,0.010523693878821848,0.0,0.0,0.0,0.0,0.0,0.0,0.0010585964256803043,0.0014322186935674705,0.00018681113394358308
"Papier, Pappe und Waren daraus",0.0,0.002542555483731954,0.0,4.3094160741219554e-5,4.3094160741219554e-5,0.0005171299288946347,0.0,0.0003016591251885369,0.0078000430941607395,0.4498168498168497,0.0038784744667097596,0.001163542340012928,0.018961430726136604,0.0,0.014264167205343674,0.0,0.0,0.000861883214824391,0.0006033182503770738,0.0,0.00034475328592975643,0.00034475328592975643,0.0,0.0005602240896358542,0.0,4.3094160741219554e-5,0.0,0.02538246067657832,0.04899806076276664,0.027063132945485884,0.005214393449687567,0.1258349493643611,4.3094160741219554e-5,0.0,0.010945916828269767,0.0027580262874380515,0.059254471019176885,0.011118293471234646,0.030381383322559786,0.0005171299288946347,0.0005602240896358542,0.001077354018530489,0.0009911656970480497,0.0,0.0009049773755656107,0.0,0.003145873734109028,0.009609997845291962,0.00874811463046757,0.006895065718595128,0.0,0.01835811247575953,0.01943546649429002,0.014350355526826111,0.0,0.0031889678948502473,0.003145873734109028,0.015384615384615382,0.00874811463046757,8.618832148243911e-5,0.021762551174315876,0.010644257703081231,0.0,0.0,0.0,0.0,0.0,0.0,0.0019823313940960994,0.0009049773755656107,0.00047403576815341515
