user,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",0.27235731000101737,0.002340014243564961,0.0,6.782649981347713e-5,0.0,0.0014921829958964967,0.0763387255400685,0.0009156577474819412,0.0010173974972021568,0.0,0.000542611998507817,0.025129718180893275,0.028012344422966053,0.00020347949944043138,0.0015260962458032354,0.0010173974972021568,0.005934818733679248,0.0005765252484145556,0.0,0.0,0.0029843659917929933,0.0,0.0005765252484145556,0.017126191202902975,0.006680910231627497,0.00010173974972021569,3.3913249906738565e-5,0.0018313154949638824,0.027028860175670636,0.0,0.00447654898768949,0.029402787669142335,0.000542611998507817,0.0,0.026893207176043682,0.003730457489741242,0.10814935395258927,0.055889035846305155,0.004035676738901889,3.3913249906738565e-5,0.00010173974972021569,0.003255671991046902,0.0,0.0,0.00037304574897412417,0.0,0.0025095804930986535,0.0005765252484145556,0.02197578593956659,0.01580357445654017,0.0,0.013802692712042595,0.0034252382405805947,0.009258317224539628,0.0,0.00013565299962695426,0.036660223149184386,0.058873401838098145,0.10258758096788415,0.00013565299962695426,0.009529623223793537,0.009699189473327229,0.0,0.0007460914979482483,0.000780004747854987,0.0,0.0,0.0,0.0023739274934716993,0.0,0.00040695899888086275
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,0.003256003256003256,0.4053724053724054,0.0,0.0,0.0,0.0,0.0,0.000814000814000814,0.0,0.001221001221001221,0.001221001221001221,0.042328042328042326,0.002849002849002849,0.0,0.002849002849002849,0.0,0.009768009768009768,0.000814000814000814,0.0,0.0,0.004477004477004477,0.0,0.000814000814000814,0.060643060643060645,0.001628001628001628,0.0,0.0,0.003256003256003256,0.003256003256003256,0.0,0.000407000407000407,0.006512006512006512,0.000407000407000407,0.0,0.055352055352055354,0.007733007733007733,0.16076516076516076,0.022385022385022386,0.010582010582010581,0.0,0.000407000407000407,0.001221001221001221,0.000407000407000407,0.000407000407000407,0.002035002035002035,0.0,0.004884004884004884,0.000814000814000814,0.021164021164021163,0.006105006105006105,0.0,0.005291005291005291,0.001628001628001628,0.003256003256003256,0.0,0.001221001221001221,0.0,0.030118030118030117,0.05168905168905169,0.000407000407000407,0.022792022792022793,0.034595034595034595,0.0,0.0,0.0,0.0,0.0,0.0,0.002442002442002442,0.0,0.000407000407000407
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",0.0,0.0,0.21782178217821782,0.0,0.0,0.0,0.0,0.06930693069306931,0.0049504950495049506,0.034653465346534656,0.0049504950495049506,0.0594059405940594,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.06435643564356436,0.0,0.0049504950495049506,0.019801980198019802,0.0049504950495049506,0.0,0.034653465346534656,0.0,0.17326732673267325,0.09405940594059406,0.0,0.009900990099009901,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.024752475247524754,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.01485148514851485,0.0,0.009900990099009901,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.0,0.0
Kohle,0.0,0.0,0.0,0.06685044796691937,0.0,0.02067539627842867,0.0,0.0013783597518952446,0.024121295658166782,0.0027567195037904893,0.0034458993797381117,0.0,0.010337698139214336,0.0,0.0027567195037904893,0.0,0.0,0.00895933838731909,0.0,0.0,0.04066161268090972,0.0,0.0,0.002067539627842867,0.0,0.0,0.0,0.2708476912474156,0.10337698139214335,0.002067539627842867,0.016540317022742935,0.026878015161957272,0.002067539627842867,0.0,0.08683666436940041,0.004824259131633356,0.044796691936595454,0.015851137146795313,0.013783597518952447,0.0006891798759476223,0.0013783597518952446,0.0,0.004135079255685734,0.0,0.0027567195037904893,0.0,0.052377670572019294,0.00895933838731909,0.014472777394900068,0.00895933838731909,0.0,0.004135079255685734,0.01791867677463818,0.022053756030323914,0.0,0.002067539627842867,0.005513439007580979,0.006891798759476223,0.025499655410062026,0.0,0.02067539627842867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024121295658166782,0.0,0.005513439007580979
Erdöl und Erdgas,0.0,0.01303538175046555,0.0,0.0,0.0,0.24581005586592178,0.0,0.00186219739292365,0.00186219739292365,0.00558659217877095,0.0037243947858473,0.0074487895716946,0.0,0.0,0.00186219739292365,0.0,0.0,0.00931098696461825,0.0,0.0037243947858473,0.027932960893854747,0.0,0.00186219739292365,0.020484171322160148,0.0,0.0,0.00186219739292365,0.061452513966480445,0.06890130353817504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335195530726257,0.0111731843575419,0.037243947858473,0.00186219739292365,0.0037243947858473,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.027932960893854747,0.0297951582867784,0.01303538175046555,0.0,0.0037243947858473,0.10242085661080075,0.06890130353817504,0.0,0.00186219739292365,0.0446927374301676,0.01303538175046555,0.00931098696461825,0.0,0.040968342644320296,0.04283054003724395,0.0,0.0,0.0,0.0,0.0,0.0,0.0037243947858473,0.0,0.00558659217877095
"Erze, Steine und Erden, sonstige Bergbauerz., DL",0.0,0.00728959575878065,0.0,0.0,0.0,0.27793240556660037,0.0007952286282306163,0.0005301524188204108,0.0038436050364479787,0.015109343936381709,0.0029158383035122596,0.02531477799867462,0.036713055003313455,0.0,0.0005301524188204108,0.0,0.0,0.006891981444665341,0.0,0.0,0.0145791915175613,0.0005301524188204108,0.0010603048376408217,0.005301524188204109,0.0001325381047051027,0.0,0.0,0.014976805831676607,0.047978793903247184,0.02836315440689198,0.006361829025844931,0.05500331345261763,0.0005301524188204108,0.0,0.027170311464546057,0.01020543406229291,0.060834990059642144,0.017627567925778662,0.03167660702451955,0.003976143141153081,0.0013253810470510272,0.009940357852882704,0.012060967528164348,0.0002650762094102054,0.0017229953611663353,0.0002650762094102054,0.0064943671305500335,0.010868124585818423,0.013121272365805169,0.014844267726971505,0.0,0.0035785288270377734,0.015109343936381709,0.04824387011265739,0.0,0.012723658051689861,0.0037110669317428763,0.019350563286944997,0.014844267726971505,0.0001325381047051027,0.05129224652087475,0.04824387011265739,0.0,0.0001325381047051027,0.0,0.0,0.0,0.0,0.005301524188204109,0.0,0.0022531477799867462
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",0.23438654999914046,0.00017190696395110965,0.0015815440683502088,5.15720891853329e-5,1.7190696395110967e-5,0.0009884650427188805,0.24106513554864106,8.595348197555483e-6,0.0009368929535335476,0.023052723865843807,0.0011345859620773236,0.0008595348197555483,0.0004125767134826632,0.0,0.010537896890203022,0.0017878324250915404,0.0,0.0005672929810386618,1.7190696395110967e-5,0.0,0.004521153151914184,0.00032662323150710836,1.7190696395110967e-5,0.006137078613054615,0.0,0.0,0.0,0.007159925048563717,0.014981691908339206,0.008156985439480154,0.0026989393340324215,0.020259235701638272,0.00011173952656822127,0.0,0.009454883017311032,0.0023723161025253135,0.08999329562840591,0.04667274071272627,0.017706417286964295,0.0001976930085437761,0.0002062883567413316,0.061112925684619485,0.0025871998074642,0.0,0.0011259906138797683,0.0013322789706210999,0.002011311478227983,0.004108576438431521,0.009222808615977034,0.004332055491567963,0.0,0.024935105121108456,0.03224974643722817,0.0063691530143886125,0.0,0.028665486238847536,0.00302556256553953,0.009007924911038146,0.01885819394543673,0.0008251534269653264,0.02313867734781936,0.01132007357618057,0.0,0.0014440184971893212,0.00013752557116088773,0.0,0.0,0.0016589022021282081,0.0024238881917106464,0.0005157208918533289,0.0010400371319042134
"Textilien, Bekleidung, Leder und Lederwaren",0.0020242914979757085,0.0,0.0,0.0,0.0,9.201324990798675e-5,0.0001840264998159735,0.2909458962090541,0.0019322782480677217,0.02318733897681266,0.008189179241810821,0.001104158998895841,0.05603606919396393,0.0,0.0152741994847258,0.0,0.008557232241442768,0.0,0.0001840264998159735,0.0,0.009845417740154582,0.00046006624953993377,0.0006440927493559073,0.005336768494663232,0.0,0.0,0.0013801987486198011,0.021623113728376886,0.029628266470371735,0.008741258741258742,0.003036437246963563,0.03248067721751932,0.000368052999631947,0.0,0.021347073978652927,0.0023003312476996686,0.14243651085756348,0.047110783952889215,0.012697828487302172,0.0,0.0008281192491718807,0.010857563489142437,0.011501656238498343,0.0,0.0023923444976076554,0.0,0.0012881854987118145,0.009201324990798674,0.011685682738314317,0.0020242914979757085,0.0,0.02603974972396025,0.009753404490246595,0.0,0.0,0.008281192491718808,0.09063305115936694,0.0037725432462274566,0.013341921236658078,0.0001840264998159735,0.03137651821862348,0.012329775487670225,0.0,0.0,0.0,0.0,0.0,0.0,0.004692675745307324,0.0021163047478836954,0.0005520794994479205
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",0.00012454075596238869,0.1341303941714926,0.0,0.0,0.0,0.0,0.0,0.0,0.34709508686717727,0.0076592564916869044,0.0020549224733794136,0.00143221869356747,0.061585403823401205,0.0,0.006538389688025406,0.02590447724017685,0.0005604334018307491,0.0013699483155862756,0.0,0.0,0.004608007970608382,0.0,0.0,0.0,0.0,0.0,0.00024908151192477737,0.01992652095398219,0.021047387757643688,0.004109844946758827,0.0004981630238495547,0.019117006040226665,0.00012454075596238869,0.0,0.01089731614670901,0.005977956286194657,0.09346783734977271,0.05012765427486145,0.025842206862195655,0.0,0.0004981630238495547,0.010772775390746623,0.0,0.0,0.00012454075596238869,0.0,0.002366274363285385,0.00473254872657077,0.01089731614670901,0.009900990099009901,0.0,0.026402640264026403,0.011084127280652594,0.013450401643937978,0.0,0.0011208668036614981,0.0009963260476991095,0.02378728438881624,0.01145774954853976,6.227037798119434e-5,0.014695809203561866,0.010523693878821844,0.0,0.0,0.0,0.0,0.0,0.0,0.001058596425680304,0.00143221869356747,0.00018681113394358303
"Papier, Pappe und Waren daraus",0.0,0.0025425554837319544,0.0,4.309416074121957e-5,4.309416074121957e-5,0.0005171299288946348,0.0,0.00030165912518853697,0.007800043094160741,0.44981684981684983,0.003878474466709761,0.0011635423400129282,0.018961430726136607,0.0,0.014264167205343676,0.0,0.0,0.0008618832148243913,0.0006033182503770739,0.0,0.00034475328592975654,0.00034475328592975654,0.0,0.0005602240896358543,0.0,4.309416074121957e-5,0.0,0.025382460676578324,0.048998060762766645,0.027063132945485888,0.005214393449687567,0.12583494936436113,4.309416074121957e-5,0.0,0.010945916828269769,0.0027580262874380523,0.0592544710191769,0.011118293471234648,0.030381383322559793,0.0005171299288946348,0.0005602240896358543,0.0010773540185304892,0.00099116569704805,0.0,0.0009049773755656109,0.0,0.0031458737341090283,0.009609997845291963,0.008748114630467572,0.00689506571859513,0.0,0.018358112475759535,0.019435466494290024,0.014350355526826114,0.0,0.0031889678948502477,0.0031458737341090283,0.015384615384615385,0.008748114630467572,8.618832148243914e-5,0.02176255117431588,0.010644257703081233,0.0,0.0,0.0,0.0,0.0,0.0,0.0019823313940961,0.0009049773755656109,0.0004740357681534152
