sector,gross_output_basic,factor_share,wage_share_gross_output
"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",53574.0,0.33869040952700935,0.11531713144435733
Forstwirtschaftl. Erzeugnisse und Dienstleistungen,6714.0,0.5536193029490617,0.16413464402740544
"Fische, Fischerei- und Aquakulturerzeugnisse, DL",491.0,0.37474541751527496,0.1710794297352342
Kohle,2925.0,0.4088888888888889,0.6923076923076923
Erdöl und Erdgas,1475.0,0.5505084745762712,0.3105084745762712
"Erze, Steine und Erden, sonstige Bergbauerz., DL",14170.0,0.33076923076923076,0.213196894848271
"Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.",193875.0,0.21807865892972275,0.1677111540941328
"Textilien, Bekleidung, Leder und Lederwaren",22525.0,0.2916315205327414,0.21735849056603773
"Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.",25494.0,0.2540205538558092,0.19173138777751628
"Papier, Pappe und Waren daraus",44188.0,0.23447542319181677,0.14506200778491898
"Druckereileist., besp. Ton-, Bild- u. Datenträger",17270.0,0.37371163867979157,0.24557035321366533
Kokerei- und Mineralölerzeugnisse,56754.0,0.04302780420763294,0.025654579412904818
Chemische Erzeugnisse,165943.0,0.21369988490023684,0.12052331222166647
Pharmazeutische Erzeugnisse,39128.0,0.3351564097321611,0.07534246575342465
Gummi- und Kunststoffwaren,79526.0,0.3224480044262254,0.22991222996252797
Glas und Glaswaren,10485.0,0.3797806390081068,0.22508345255126372
"Keramik, bearbeitete Steine und Erden",38167.0,0.3187046401341473,0.21073178400188644
"Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",91466.0,0.11163711105766078,0.07009161874357685
NE-Metalle und Halbzeug daraus,42930.0,0.10489168413696716,0.07961798276263685
Gießereierzeugnisse,19227.0,0.3181983668799085,0.26311957143600145
Metallerzeugnisse,137946.0,0.40701433894422456,0.30252417612689025
"DV-Geräte, elektronische und optische Erzeugnisse",78148.0,0.42729180529252186,0.20473972462507037
Elektrische Ausrüstungen,96796.0,0.39291912888962355,0.2675833712136865
Maschinen,246876.0,0.35887247038999337,0.25491339781914807
Kraftwagen und Kraftwagenteile,398948.0,0.2616606675556714,0.12412895916259763
Sonstige Fahrzeuge,50234.0,0.26334753354301865,0.18125174184815065
"Möbel und Waren, a.n.g.",54459.0,0.41730476138012085,0.3095172515103105
"Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.",54806.0,0.3502353756887932,0.3200379520490457
"Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.",117745.0,0.3401078602063782,0.11298993587838124
"Indust.erz.Gase, Dienstleistungen d.Gasversorgung",15353.0,0.4283201980069042,0.20979613104930633
"Wasser, Dienstleistungen der Wasserversorgung",11281.0,0.664391454658275,0.21301303075968442
"DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",62514.0,0.4228972710112935,0.17351313305819496
Hochbauarbeiten,74674.0,0.34614457508637547,0.1896644079599325
Tiefbauarbeiten,48101.0,0.4157086131265462,0.24966216918567183
"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten",231844.0,0.46931126102034126,0.2579708769689964
"Handelsleistungen mit Kfz, Instandh. und Reparatur",93922.0,0.6405102106002853,0.34726688102893893
Großhandelsleistungen (oh.Handelsleistungen m.Kfz),290322.0,0.5525451050902102,0.33841045459868696
Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),208528.0,0.5363548300468043,0.3937696616281746
Landverkehrs- u. Transportleist. in Rohrfernleit.,108791.0,0.4680626154737065,0.266198490683972
Schifffahrtsleistungen,24584.0,0.212373901724699,0.030751708428246014
Luftfahrtleistungen,25055.0,0.2758730792257035,0.20191578527240073
