"","year","Products.of.agric...hunting.and.related.services","Products.of.forestry..logging.and.related.services","Fish.aquaculture.prod..support.services.to.fishing","Coal","Crude.petroleum.and.natural.gas","Metal.ores..other.mining.and.quarr..prod..services","Food.products..beverages..tobacco.products","Textiles.wearing.apparel.leather.leather.products","Wood.cork.exc.furn..art.of.straw.and.plaiting.mat.","Paper.and.paper.products","Printing.services..rec..sound.image.data.carriers","Coke.and.refined.petroleum.products","Chemicals.and.chemical.products","Pharmaceutical.products","Rubber.and.plastics.products","Glass.and.glassware","Ceramic.products..processed.stone.and.clay","Pig.iron.steel.products.of.the.first.proc.of.steel","Non.ferrous.metals.and.semi.finished.products","Foundry.products","Metal.products","Computer..electronic.and.optical.products","Electrical.equipment","Machinery","Motor.vehicles..trailers.and.semi.trailers","Other.transport.equipment","Furniture.and.other.manufactured.goods.n.e.c.","Repair.maintenance.install..of.machinery.a..equip.","Electric.current.supply.of.electr..steam.air.cond.","Manufact..gases.distrib..services.of.gaseous.fuels","Natural.water..water.treatment.and.supply.services","Sewage..waste.disposal..material.recovery.services","Building.construction.works","Civil.engineering.works","Specialised.construction.works","Wholesale.ret.trade.repair.of.motor.veh..motorcyc.","Wholesale.trade.serv..exc..motor.veh..a..motorcyc.","Retail.trade.serv..exc..motor.veh..and.motorcycles","Land.transp.serv..a..transport.serv..via.pipelines","Water.transport.services","Air.transport.services","Warehousing.and.other.services.for.transportation","Postal.and.courier.services","Accommodation.and.food.services","Publishing.services","Audio.visual.media..music.publishing..broadcasting","Telecommunication.services","Computer.programming..consultancy..inform.services","Financial.services","Insurance.and.pension.funding.services","Services.related.to.financial.a.insurance.services","Real.estate.services","Legal..accounting..management.consultancy.services","Architectural.a..engineering.serv...techn..testing","Scientific.research.and.development.services","Advertising.and.market.research.services","Other.prof..scientific.techn..veterinary.services","Rental.and.leasing.services","Employment.services","Travel.agency..tour.operator.other.reserv.services","Invest...security..admin...support.services.n.e.c.","Public.administration.and.defence.services","Compulsory.social.security.services","Education.services","Human.health.services","Residential.care.and.social.work.services","Arts..culture.and.gambling.services","Sporting..amusement.and.recreation.services","Services.of.membership.organisations","Repair.of.data.processing.equipment.and.durables","Other.personal.service.activities","Goods.a..services.of.private.households..non.spec.","Wages.and.salaries"
"1",2024,0,0,0,0,0,0,0,0,0,0,0,0,6128896099.3023,0,7576717717.20463,4903116879.44184,6479118733.54815,0,0,0,0,0,1034531235.94408,3448437453.14693,0,0,0,0,0,0,0,0,0,0,51189497398.6892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2025,0,0,0,0,0,0,0,0,0,0,0,0,5690800918.19132,0,7035131848.10767,4552640734.55306,6015989542.08797,0,0,0,0,0,1024718610.24426,3415728700.81419,0,0,0,0,0,0,0,0,0,0,47787001834.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2026,0,0,0,0,0,0,0,0,0,0,0,0,5634065436.79221,0,6964993813.43619,4507252349.43377,5956012033.18034,0,0,0,0,0,1007253101.14774,3357510337.15912,0,0,0,0,0,0,0,0,0,0,47281583015.4777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2027,0,0,0,0,0,0,0,0,0,0,0,0,5546146552.85399,0,6856305959.24212,4436917242.28319,5863069213.01708,0,0,0,0,0,1025699336.89803,3418997789.66011,0,0,0,0,0,0,0,0,0,0,46680417023.2741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2028,0,0,0,0,0,0,0,0,0,0,0,0,5436269442.30282,0,6720472713.46022,4349015553.84226,5746913410.43441,0,0,0,0,0,1030206392.17578,3434021307.2526,0,0,0,0,0,0,0,0,0,0,45854921587.0985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2029,0,0,0,0,0,0,0,0,0,0,0,0,5536232122.2293,0,6844049454.81571,4428985697.78344,5852588243.49954,0,0,0,0,0,982070398.710012,3273567995.70004,0,0,0,0,0,0,0,0,0,0,46429788450.1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2030,0,0,0,0,0,0,0,0,0,0,0,0,5286737204.25216,0,6535616657.98545,4229389763.40173,5588836473.06657,0,0,0,0,0,1001379459.54915,3337931531.83052,0,0,0,0,0,0,0,0,0,0,44591658839.4823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2031,0,0,0,0,0,0,0,0,0,0,0,0,5336848328.47663,0,6597565471.70148,4269478662.7813,5641811090.10386,0,0,0,0,0,984031852.017566,3280106173.39189,0,0,0,0,0,0,0,0,0,0,44906970178.1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2032,0,0,0,0,0,0,0,0,0,0,0,0,5268678115.80297,0,6513291493.19352,4214942492.64238,5569745436.706,0,0,0,0,0,997799539.30477,3325998464.34923,0,0,0,0,0,0,0,0,0,0,44438700016.4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2033,0,0,0,0,0,0,0,0,0,0,0,0,5213853127.69729,0,6445515265.30591,4171082502.15784,5511787592.13714,0,0,0,0,0,983672788.160728,3278909293.86909,0,0,0,0,0,0,0,0,0,0,43961303035.3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
