"Erz. d. Landwirtschaft, Jagd und Dienstleistungen",Forstwirtschaftl. Erzeugnisse und Dienstleistungen,"Fische, Fischerei- und Aquakulturerzeugnisse, DL",Kohle,Erdöl und Erdgas,"Erze, Steine und Erden, sonstige Bergbauerz., DL","Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.","Textilien, Bekleidung, Leder und Lederwaren","Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.","Papier, Pappe und Waren daraus","Druckereileist., besp. Ton-, Bild- u. Datenträger",Kokerei- und Mineralölerzeugnisse,Chemische Erzeugnisse,Pharmazeutische Erzeugnisse,Gummi- und Kunststoffwaren,Glas und Glaswaren,"Keramik, bearbeitete Steine und Erden","Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",NE-Metalle und Halbzeug daraus,Gießereierzeugnisse,Metallerzeugnisse,"DV-Geräte, elektronische und optische Erzeugnisse",Elektrische Ausrüstungen,Maschinen,Kraftwagen und Kraftwagenteile,Sonstige Fahrzeuge,"Möbel und Waren, a.n.g.","Rep., Instandh. u. Inst. v. Maschinen u. Ausrüst.","Elektr.Strom,DL d.Elektriz.-,Wärme-u.Kälteversorg.","Indust.erz.Gase, Dienstleistungen d.Gasversorgung","Wasser, Dienstleistungen der Wasserversorgung","DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung",Hochbauarbeiten,Tiefbauarbeiten,"Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten","Handelsleistungen mit Kfz, Instandh. und Reparatur",Großhandelsleistungen (oh.Handelsleistungen m.Kfz),Einzelhandelsleistungen (ohne Handelsleist.m.Kfz),Landverkehrs- u. Transportleist. in Rohrfernleit.,Schifffahrtsleistungen,Luftfahrtleistungen,"Lagereileist.,sonst. Dienstleistungen f.d. Verkehr","Post-, Kurier- und Expressdienstleistungen",Beherbergungs- und Gastronomiedienstleistungen,Dienstleistungen des Verlagswesens,"DL v. audiovis.Med., Musikverlag. u.RF-veranstalt.",Telekommunikationsdienstleistungen,IT- und Informationsdienstleistungen,Finanzdienstleistungen,Dienstleistungen v.Versicherungen u.Pensionskassen,Mit Finanz- u.Versicherungs-DL verbundene Dienstl.,Dienstleistungen d. Grundstücks- u. Wohnungswesens,"DL der Rechts-, Steuer- und Unternehmensberatung","DL v. Arch.-/Ing.-büros,techn.,phys.,chem.Unters.",Forschungs- und Entwicklungsleistungen,Werbe- und Marktforschungsleistungen,"Sonst. freiberufl.,wiss.,techn. u.veterinärmed. DL",Dienstleist. der Vermietung v. beweglichen Sachen,DL d. Vermittlung u. Überlassung v. Arbeitskräften,"DL v. Reisebüros, -veranstaltern u. sonst. Reserv.","Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g",DL d. öffentlichen Verwaltung und der Verteidigung,Dienstleistungen der Sozialversicherung,Erziehungs- und Unterrichtsdienstleistungen,Dienstleistungen des Gesundheitswesens,Dienstleistungen von Heimen und des Sozialwesens,"Dienstleist. der Kunst, Kultur u. des Glücksspiels","DL des Sports, der Unterhaltung und der Erholung","DL d. Interessenvertr., kirchl. u.sonst. Vereinig.",Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern,Sonstige überwiegend persönliche Dienstleistungen,DemandShockAmount
0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0
1.001089995923481,1.0002364007533924,1.0000115182930611,1.0000809425307222,1.0000571137873058,1.000347690392405,1.002814791521798,1.000318564026609,1.000402447284332,1.0009595117114594,1.000512773318289,1.0019141661669306,1.0020102242830662,1.0011678531042443,1.0023826001331513,1.0002789455541237,1.0009773639896489,1.0005858403472654,1.0006644880460471,1.00043251604356,1.0040339857826663,1.0024012249264924,1.002568163011066,1.0064039853829279,1.0174620082658525,1.0005966674272087,1.0013562088639376,1.0009424625507042,1.00264529012783,1.0004483248977574,1.0004178980409413,1.0019809195255815,1.0014311982194122,1.0010378851251407,1.007541422846959,1.0036817739083008,1.0115723944988915,1.0087443356074464,1.0029842874689798,1.0009917301507043,1.0006560455214293,1.0042156448950803,1.0017187435305273,1.0030565852912705,1.0015187670593135,1.000846135237019,1.001773761983592,1.007045827391788,1.0054845852461298,1.002856954335049,1.0013203138203484,1.0246691835983177,1.0071415995526523,1.003303939697612,1.0047064635741259,1.000677916278705,1.0010148110610033,1.0042046494327106,1.0017291873651282,1.0010416068158863,1.0050135730483674,1.0124885544220295,1.001734499246067,1.0091311483443413,1.0113539670077984,1.0052447696474551,1.0014037949714232,1.000856557063481,1.0019745896008292,1.00017709254785,1.0023292736644607,1.0163265306122449
1.0021814994998828,1.0004730480008048,1.0000230430896937,1.0001619367060175,1.000114287213642,1.0006956659916475,1.0055895927084233,1.000635483802026,1.0008053498153662,1.0019204229482335,1.0010260920623666,1.003831951459338,1.0040338181536301,1.0023137162879308,1.0047722100020051,1.0005582213637463,1.0019559941254363,1.0011712751875608,1.0013298671850648,1.0008662264386434,1.0080871164973924,1.0048127460314775,1.0051471789631687,1.0128801431268155,1.0353004914641928,1.0011934292065354,1.002716523123871,1.001885799404494,1.0053079657780508,1.000897159694422,1.0008364687910334,1.0039667830691374,1.0028626068193096,1.0020768405094074,1.0151513468349187,1.0073803243353183,1.023330826694834,1.0175747065101988,1.0059789014626228,1.0019849580774296,1.001312781271595,1.008450189485399,1.003441195773398,1.0061139267062913,1.003040955699959,1.0016935236876177,1.0035517338342088,1.0141435794715814,1.0110007060194572,1.0057243979486403,1.0026431905240634,1.0499736107783377,1.014337377295618,1.0066204405419539,1.009494486717879,1.0013567285841856,1.0020312197640995,1.0084295726449062,1.0034649073005284,1.0020845649704142,1.010054219574069,1.0251937516997758,1.0034753114211858,1.0183639273479166,1.0228999837561012,1.0105991108630616,1.0028128822676603,1.0017149860423205,1.0039563729261527,1.0003543530593686,1.0046706660095432,1.0326530612244897
1.0032745059143204,1.0007099404179038,1.0000345743797348,1.0002429827567685,1.0001715202409955,1.0010439261765178,1.008348281363385,1.0009510687898093,1.0012087139255519,1.002882739955222,1.0015399539081784,1.0057533616928525,1.0060690795315645,1.0034481511815114,1.0071688333182722,1.00083783154754,1.0029358872569607,1.0017563705486996,1.001996141311587,1.001301122969487,1.0121593259176205,1.0072346117324638,1.007737083813923,1.0194295392202743,1.053266534685266,1.001790433590625,1.0040810138835927,1.0028300230876697,1.0079851620297753,1.0013465011746883,1.0012557136377969,1.0059575880639295,1.0042945283472675,1.003116924959469,1.0228297076491262,1.0110956587802367,1.0352604739976483,1.0264916058195142,1.0089838454355082,1.0029796859527647,1.0019702137325721,1.0127036967880527,1.0051673598502444,1.0091702777965783,1.004566581555173,1.0025422638275294,1.0053339201740465,1.0212935069568947,1.0165484988584468,1.008602369145177,1.0039686267060262,1.075919206138237,1.0215876674493254,1.0099495248097672,1.0143650167473865,1.0020364316754624,1.0030492198702277,1.0126747733705255,1.0052071003663485,1.0031288854712592,1.0151220277738184,1.0381124178259387,1.005222458502586,1.0276991301388767,1.0346316287082327,1.0160702465975928,1.004227280638788,1.0025753038343805,1.0059453811308188,1.0005317797254347,1.0070242288052333,1.0489795918367348
1.0043690105618608,1.0009470767486506,1.0000461121534325,1.0003240809062712,1.0002288128339476,1.0013924703339527,1.0111044157043922,1.0012655810726026,1.0016125455770197,1.00384646865814,1.002054356576276,1.0076784026994505,1.0081146040208946,1.0045777097934707,1.0095724743105605,1.0011177799804694,1.0039170403470734,1.0023411875024837,1.0026633139220467,1.0017371976095082,1.0162505597780322,1.0096668686148345,1.010337912125697,1.0260528114244525,1.0711672116013609,1.002387806689765,1.0054497442155346,1.0037751456887256,1.0106748693838004,1.001796346191007,1.0016756339316961,1.0079533324162362,1.0057272320579458,1.0041581936783932,1.0305765039186487,1.0148277869908964,1.0473527420481519,1.0354955483755222,1.0119991239040516,1.0039759158708503,1.0026283490559735,1.0169762296785438,1.006897238828985,1.0122300881877782,1.0060956598395758,1.0033924442394067,1.0071203258493902,1.0284958622620766,1.022128101790806,1.0114909062120079,1.0052966190288453,1.1025129667184,1.0288928035126443,1.0132912156344185,1.0193189330051093,1.0027170205026859,1.004068805295932,1.0169402581948392,1.006955710930939,1.004174578684681,1.0202170859973148,1.051245998732436,1.0069759620267034,1.037137640092499,1.0465489934900605,1.0216655267587014,1.005647007970271,1.0034375264245612,1.0079416449854235,1.0007093708329156,1.0093900136109741,1.0653061224489795
1.005465009040075,1.0011844557892724,1.0000576564014092,1.0004052313629574,1.0002861649586916,1.0017412978454372,1.0138637655476566,1.001579243618632,1.0020168503771383,1.0048116146847799,1.002569297809699,1.0096070803269832,1.0101692203473376,1.0057065863330243,1.0119831377669923,1.0013980703120575,1.0048994504705115,1.0029257826048035,1.0033313881487524,1.002174442492049,1.0203607747429677,1.012109561587304,1.0129496971859906,1.0327503278288328,1.0888782116383313,1.0029856571680558,1.0068227702130925,1.0047211788784534,1.0133756639058562,1.002246691627221,1.0020962309839292,1.009954014519376,1.0071609582816214,1.0052006985375737,1.0383917888331067,1.0185767212616974,1.059602651872214,1.0445870688846268,1.0150247424341434,1.0049736498544852,1.0032871930848057,1.0212678511245168,1.0086308357087104,1.01529647016378,1.0076282053782422,1.0042441447476504,1.0089109559402925,1.0357509008961787,1.0277396546752482,1.0143900474125886,1.006627163995139,1.129762844168853,1.0362531196585252,1.0166455371309322,1.0243570589089934,1.0033984901995356,1.0050899700980294,1.0212260363568926,1.0087106853872416,1.00522165438308,1.0253394833132037,1.0645967334857633,1.0087358431303648,1.0466804039739634,1.0586512812492501,1.0273915729773369,1.0070720813592025,1.0043016689581834,1.0099451949167522,1.000887124739481,1.0117680718462647,1.0816326530612246
1.0065624971393603,1.0014220763853072,1.0000692071146569,1.0004864343209694,1.0003435765829432,1.0020904080873605,1.0166291307489612,1.001892247667149,1.002421633602567,1.0057781833843693,1.0030847753740189,1.0115394004389595,1.0122319420174337,1.0068375491116048,1.0144008290033462,1.0016787059828767,1.0058831148097154,1.0035102083032499,1.0040003667971371,1.0026128499051667,1.02448993727806,1.0145627340781131,1.0155724711675036,1.039522293646182,1.1063350004397376,1.0035840794069086,1.0082001418448865,1.0056681339291358,1.0160865263152303,1.0026975343994424,1.0025175060690958,1.0119596332322445,1.0085959221092744,1.006244488324845,1.046275663033985,1.0223424762896516,1.0720074218330575,1.0537667203282446,1.018060707591777,1.0059728898607785,1.0039467513736744,1.025578624197455,1.0103681534240059,1.018371413262058,1.0091642326335564,1.005097437392893,1.010705815748884,1.0430588814597679,1.0333832991621965,1.0172998309952814,1.0079602579697329,1.1576776484748577,1.0436689508864814,1.0200125143544296,1.0294801715786916,1.0040808360756834,1.0061127084710564,1.0255321196390073,1.0104719720749582,1.0062701217890966,1.0304893095317147,1.078166968994613,1.0105021225861566,1.056328414670422,1.0709368310702057,1.033254139470836,1.0085025171886393,1.0051677458079704,1.0119560610402414,1.0010650398699636,1.0141584548191482,1.0979591836734695
1.007661470833842,1.0016599374287465,1.0000807642844995,1.0005676899607472,1.0004010476758247,1.002439800431193,1.019402006594037,1.0022047583250817,1.0028269002214742,1.0067461798453516,1.003600787057371,1.0134753689143385,1.0143019305943044,1.0079724785027342,1.016825553833413,1.0019596902396364,1.00686803065077,1.0040945133010084,1.00467025237855,1.0030524122863533,1.0286380226580853,1.0170264282071706,1.0182062652673456,1.0463688223651073,1.1235153450424455,1.0041831559763006,1.0095819036861502,1.0066160217327271,1.0188067208214202,1.003148871456934,1.0029394604276787,1.0139701878587037,1.0100323165345544,1.0072896089712144,1.0542282685934155,1.0261250690405257,1.0845656571935254,1.0630350725981907,1.0211070268968152,1.0069736377863874,1.004607029207332,1.0299086120836962,1.0121091948492784,1.021456222339701,1.0107037557301473,1.0059523872797154,1.0125049107883455,1.0504200656408882,1.039059178655678,1.0202202952015824,1.0092958971999857,1.1862669667535188,1.0511406331615416,1.0233921732605418,1.0346890095842254,1.0047640536097102,1.007137014744738,1.0298585222616583,1.0122395212046982,1.0073199896158738,1.0356666552255849,1.0919590428601096,1.0122748208343346,1.0660826982466944,1.0834034822631768,1.0392581710985018,1.0099383311936176,1.0060357706348082,1.013974273189201,1.0012431147131235,1.0165612137514857,1.1142857142857143
1.0087619262727288,1.0018980378554438,1.0000923279026028,1.0006489984495084,1.0004585782077697,1.0027894742438976,1.0221832362773902,1.002516919002065,1.0032326549139916,1.007715608911824,1.0041173306704456,1.0154149916473707,1.0163784674097682,1.0091126860495674,1.0192573185411076,1.0022410261489947,1.0078541953796656,1.0046787428823465,1.005341047139119,1.0034931222177943,1.0328050140925553,1.0195006849370472,1.0208511098284683,1.0532899824659367,1.140422874220754,1.0047829595874695,1.0109680955474492,1.0075648528180474,1.0215357130088263,1.0036006997827107,1.0033620952683213,1.015985678128343,1.0114703151435323,1.00833610375825,1.0622497839112188,1.029924518623945,1.0972768670928994,1.0723927113215002,1.0241637087796476,1.0079758954722213,1.005268031617879,1.034257878094937,1.0138539628027987,1.0245517942350935,1.0122467884777981,1.0068090533166025,1.0143082467727154,1.0578347182055654,1.0447674382783263,1.023151478273899,1.0106340778341059,1.215541094216359,1.0586685035416434,1.026784540668501,1.0399842709391107,1.005448138442327,1.0081628833814928,1.0342052607847565,1.0140132847858658,1.0083712661037483,1.0408716117469097,1.1059752805289143,1.0140539580116594,1.0759443131285684,1.096048816859234,1.0454079098605529,1.0113795385198743,1.0069057564428612,1.0159998609413425,1.0014213478184608,1.018976399801382,1.1306122448979592
1.009863859772165,1.0021363766426399,1.0001038979609271,1.0007303599418074,1.0005161681504875,1.0031394288881503,1.0249733024405894,1.002828854957758,1.0036389020910308,1.0086864751985776,1.0046344040465334,1.0173582745474055,1.0184609314920867,1.0102591090851758,1.0216961298542888,1.0025227166101383,1.0088416064785393,1.0052629392043908,1.006012753085422,1.0039349724217042,1.0369909019528711,1.0219855442059131,1.023507034445426,1.0602858275116842,1.1570751363999143,1.005383554652034,1.0123587530172278,1.0085146373670353,1.024273113354349,1.0040530163941477,1.003785411769919,1.0180061041782005,1.012910074425847,1.0093840135078935,1.070340419383264,1.0337408461777446,1.1101411664716085,1.0818402368440019,1.027230762540527,1.008979664707709,1.0059297634006454,1.0386264856784537,1.01560246005066,1.027658773691389,1.0137933443926967,1.0076674888634503,1.016115829607207,1.0653031069879948,1.0505082248377384,1.0260934184624775,1.0119747959378835,1.2455109755143536,1.0662529002934704,1.030189644226275,1.0453666522296579,1.0061330863699265,1.0091903089738958,1.038572354013801,1.0157932165570975,1.0094239590538496,1.0461042712417594,1.1202180112629505,1.01583955397743,1.085914334866313,1.1088703015417654,1.0517070036324734,1.0128261537762953,1.0077777156296965,1.0180328536428243,1.001599737793341,1.021404064083296,1.146938775510204
