cell,resid,pmkt,canary,gap,canary_no_prog,F,import_prog,maxdp
matrix_5x3-v3-BF-F1,3.9412917374193057e-13,0.00027866558990880886,0.00045272326990898615,-0.0001740576800001773,0.00045272326990898615,0.013309914928830961,0.0,5.485611964672898e-13
matrix_5x3-v3-BF-F2,2.220446049250313e-15,0.00021654163283963887,-0.0005475668003354361,0.000764108433175075,-0.0005475668003354361,0.01330991492883656,0.0,2.6645352591003757e-15
matrix_5x3-v3-BF-F3,2.220446049250313e-15,-0.00016030725532256002,-0.007946652891447761,0.007786345636125201,0.005363262037388799,0.01330991492883656,0.0028511702985504605,2.6645352591003757e-15
matrix_5x3-v3-ALPHA-F1,2.220446049250313e-15,0.0004649851120162303,0.00046498511201588377,3.465110143263672e-16,0.00046498511201588377,0.01330991492883656,0.0,2.6645352591003757e-15
matrix_5x3-v3-ALPHA-F2,2.220446049250313e-15,-0.0006013959502356252,-0.0006013959502357558,1.3053794156725473e-16,-0.0006013959502357558,0.01330991492883656,0.0,2.6645352591003757e-15
matrix_5x3-v3-ALPHA-F3,2.220446049250313e-15,-0.008495177614153379,-0.008495177614153554,1.7520707107365752e-16,0.004814737314683007,0.01330991492883656,0.0028511702985504605,2.6645352591003757e-15
matrix_5x3-v3-BETA-F1,2.220446049250313e-15,0.000464985112016268,0.00046498511201600867,2.5934115965853266e-16,0.00046498511201600867,0.01330991492883656,0.0,2.6645352591003757e-15
matrix_5x3-v3-BETA-F2,2.220446049250313e-15,-0.0006013959502354379,-0.0006013959502357558,3.178880769727499e-16,-0.0006013959502357558,0.01330991492883656,0.0,2.6645352591003757e-15
matrix_5x3-v3-BETA-F3,2.220446049250313e-15,-0.008495177614153273,-0.008495177614153485,2.1163626406917047e-16,0.004814737314683076,0.01330991492883656,0.0028511702985504605,2.6645352591003757e-15
matrix_5x3-v3-GAMMA-F1,8.881784197001252e-16,-1.4021444595668789e-16,-2.0816681711721685e-16,6.795237116052897e-17,-2.0816681711721685e-16,0.013309914928836545,0.0,2.220446049250313e-15
matrix_5x3-v3-GAMMA-F2,9.00390872971002e-14,-2.49541861241547e-12,-2.4875657089751257e-12,-7.852903440344203e-15,-2.4875657089751257e-12,0.013309914928835952,0.0,1.0913492332065289e-13
matrix_5x3-v3-GAMMA-F3,8.881784197001252e-16,2.4866176825955054e-16,-1.249000902703301e-16,3.7356185852988065e-16,0.01330991492883642,0.013309914928836545,0.002851170298550457,2.220446049250313e-15
matrix_5x3-v3-DELTA-F1,4.440892098500626e-16,-2.821365103350404e-16,-5.412337245047638e-16,2.590972141697234e-16,-5.412337245047638e-16,0.013309914928836538,0.0,1.5543122344752192e-15
matrix_5x3-v3-DELTA-F2,1.7813528430110637e-13,-6.5139505863398106e-12,-6.5275146399201844e-12,1.3564053580373844e-14,-6.5275146399201844e-12,0.013309914928836541,0.0,5.684341886080802e-14
matrix_5x3-v3-DELTA-F3,4.440892098500626e-16,-3.0668691327825903e-16,-6.245004513516506e-16,3.178135380733915e-16,0.013309914928835914,0.013309914928836538,0.0028511702985504553,1.5543122344752192e-15
