run_id,design,status,labor,financing,eta,eta_s,theta,epsilon,sigma,shock,magnitude,data_vintage,evidence,commit,actor,notes
matrix_5x3-BF-F1,matrix_5x3,executed,BF,F1,0.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-BF-F1/manifest.toml; runs/matrix_5x3-BF-F1/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-BF-F1/manifest.toml)"
matrix_5x3-BF-F2,matrix_5x3,executed,BF,F2,0.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-BF-F2/manifest.toml; runs/matrix_5x3-BF-F2/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-BF-F2/manifest.toml)"
matrix_5x3-BF-F3,matrix_5x3,executed,BF,F3,0.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-BF-F3/manifest.toml; runs/matrix_5x3-BF-F3/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-BF-F3/manifest.toml)"
matrix_5x3-ALPHA-F1,matrix_5x3,executed,ALPHA,F1,1.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-ALPHA-F1/manifest.toml; runs/matrix_5x3-ALPHA-F1/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-ALPHA-F1/manifest.toml)"
matrix_5x3-ALPHA-F2,matrix_5x3,executed,ALPHA,F2,1.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-ALPHA-F2/manifest.toml; runs/matrix_5x3-ALPHA-F2/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-ALPHA-F2/manifest.toml)"
matrix_5x3-ALPHA-F3,matrix_5x3,executed,ALPHA,F3,1.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-ALPHA-F3/manifest.toml; runs/matrix_5x3-ALPHA-F3/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-ALPHA-F3/manifest.toml)"
matrix_5x3-BETA-F1,matrix_5x3,executed,BETA,F1,1.0,0.5,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-BETA-F1/manifest.toml; runs/matrix_5x3-BETA-F1/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-BETA-F1/manifest.toml)"
matrix_5x3-BETA-F2,matrix_5x3,executed,BETA,F2,1.0,0.5,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-BETA-F2/manifest.toml; runs/matrix_5x3-BETA-F2/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-BETA-F2/manifest.toml)"
matrix_5x3-BETA-F3,matrix_5x3,executed,BETA,F3,1.0,0.5,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-BETA-F3/manifest.toml; runs/matrix_5x3-BETA-F3/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | executed 2026-09-17 (see runs/matrix_5x3-BETA-F3/manifest.toml)"
matrix_5x3-GAMMA-F1,matrix_5x3,failed,GAMMA,F1,1.0,0.0,0.5,0.5,0.9,impulses.csv,1.0,full-71-abill,runs/matrix_5x3-GAMMA-F1/manifest.toml; runs/matrix_5x3-GAMMA-F1/log.txt,848a9cbdc826e9af8af643363a4c6d49135986fb,hermes-agent,"parameters pinned in experiments/designs/matrix_5x3.toml (full-71 A-bill, ADR-0012); planned | failed 2026-09-17 (see runs/matrix_5x3-GAMMA-F1/manifest.toml)"
