run_id,date,design,closures,status,gate_summary,headline_metrics,commit
matrix_5x3-ALPHA-F1,2026-09-17,matrix_5x3,ALPHA+F1,executed,budget 1.11e-16<=1e-09 ok; labour 2.22e-16<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=0.000433; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-ALPHA-F2,2026-09-17,matrix_5x3,ALPHA+F2,executed,budget 0<=1e-09 ok; labour 4.44e-16<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=-0.016936; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-ALPHA-F3,2026-09-17,matrix_5x3,ALPHA+F3,executed,budget 1.11e-16<=1e-09 ok; labour 4.44e-16<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=0.000000; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-BETA-F1,2026-09-17,matrix_5x3,BETA+F1,executed,budget 0<=1e-09 ok; labour 0<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=0.000433; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-BETA-F2,2026-09-17,matrix_5x3,BETA+F2,executed,budget 0<=1e-09 ok; labour 0<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=-0.016936; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-BETA-F3,2026-09-17,matrix_5x3,BETA+F3,executed,budget 0<=1e-09 ok; labour 2.22e-16<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=0.000000; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-BF-F1,2026-09-17,matrix_5x3,BF+F1,executed,budget 0<=1e-09 ok; labour 0<=1e-06 ok; resid 9.27e-07<=1e-06 ok,gdp_rel=0.000432; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-BF-F2,2026-09-17,matrix_5x3,BF+F2,executed,budget 0<=1e-09 ok; labour 0<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=-0.016936; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-BF-F3,2026-09-17,matrix_5x3,BF+F3,executed,budget 1.11e-16<=1e-09 ok; labour 0<=1e-06 ok; resid 2.22e-15<=1e-06 ok,gdp_rel=-0.000000; L=1.000000; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-DELTA-F1,2026-09-17,matrix_5x3,DELTA+F1,failed,overall=fail,,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-DELTA-F2,2026-09-17,matrix_5x3,DELTA+F2,executed,budget 1.11e-16<=1e-09 ok; resid 8.71e-07<=1e-06 ok; wage 0<=1e-08 ok,gdp_rel=-0.015350; L=1.001247; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
matrix_5x3-DELTA-F3,2026-09-17,matrix_5x3,DELTA+F3,executed,budget 1.11e-16<=1e-09 ok; resid 4.44e-16<=1e-06 ok; wage 0<=1e-08 ok,gdp_rel=0.022644; L=1.017796; w=1.000000,848a9cbdc826e9af8af643363a4c6d49135986fb
